"행정구역","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상"
"부산광역시 부산진구 가야제2동(2623072000)","8,255","8,255","502","698","1,129","923","1,193","1,335","1,373","814","266","22","0","8,745","8,745","500","671","986","901","1,209","1,495","1,631","913","377","56","6"
"부산광역시 부산진구 개금제1동(2623074000)","8,090","8,090","623","472","1,424","1,357","1,252","1,232","984","549","188","9","0","8,811","8,811","602","521","1,774","1,348","1,138","1,256","1,180","647","305","40","0"
"부산광역시 부산진구 개금제2동(2623075000)","5,454","5,454","278","429","829","626","773","930","908","496","177","8","0","5,703","5,703","315","404","713","536","732","977","1,043","641","307","35","0"
"부산광역시 부산진구 개금제3동(2623076000)","14,131","14,131","931","1,223","1,900","1,692","2,072","2,432","2,492","1,029","339","21","0","15,057","15,057","864","1,217","1,713","1,691","2,075","2,788","2,679","1,238","697","92","3"
"부산광역시 부산진구 범천제1동(2623077000)","5,686","5,686","227","243","1,069","1,168","786","850","799","379","150","14","1","6,303","6,303","256","227","1,458","1,119","741","816","867","505","274","39","1"
"부산광역시 부산진구 범천제2동(2623078000)","9,975","9,975","623","551","1,198","1,655","1,489","1,531","1,752","859","290","21","6","10,554","10,554","589","484","1,356","1,507","1,281","1,636","1,910","1,130","574","69","18"
"부산광역시 동래구 (2626000000)","130,672","130,672","9,904","12,876","16,778","16,266","20,957","20,770","19,271","10,333","3,271","233","13","137,944","137,944","9,282","11,832","15,334","16,125","21,844","22,941","22,284","12,098","5,306","838","60"
"부산광역시 동래구 수민동(2626051000)","15,985","15,985","1,299","1,509","2,070","2,151","2,508","2,438","2,322","1,259","392","36","1","16,872","16,872","1,275","1,293","1,811","2,139","2,532","2,853","2,734","1,469","663","100","3"
"부산광역시 동래구 복산동(2626052000)","4,782","4,782","166","340","577","491","634","830","955","554","217","18","0","5,069","5,069","158","290","490","371","566","883","1,074","763","383","68","23"
"부산광역시 동래구 명륜동(2626054500)","12,246","12,246","1,377","1,777","1,287","1,394","2,447","1,783","1,230","692","244","15","0","12,712","12,712","1,247","1,470","1,206","1,608","2,636","1,871","1,428","809","370","66","1"
"부산광역시 동래구 온천제1동(2626055000)","9,295","9,295","502","565","1,400","1,609","1,462","1,483","1,269","704","279","20","2","10,320","10,320","515","554","1,707","1,621","1,574","1,536","1,405","914","428","60","6"
"부산광역시 동래구 온천제2동(2626056000)","7,211","7,211","405","737","956","721","1,019","1,147","1,201","705","291","25","4","7,753","7,753","428","672","788","655","1,096","1,303","1,387","875","455","90","4"
"부산광역시 동래구 온천제3동(2626057000)","19,029","19,029","1,324","1,500","2,755","2,776","2,787","3,068","2,855","1,454","470","39","1","19,830","19,830","1,245","1,347","2,688","2,580","2,827","3,502","3,214","1,677","660","85","5"
"부산광역시 동래구 사직제1동(2626058000)","5,115","5,115","420","466","664","662","848","830","646","404","166","8","1","5,579","5,579","392","533","590","686","913","843","840","508","237","36","1"
"부산광역시 동래구 사직제2동(2626059000)","13,436","13,436","1,284","1,976","1,693","1,252","2,588","2,237","1,574","672","155","5","0","14,381","14,381","1,246","2,081","1,422","1,435","3,034","2,286","1,715","774","325","62","1"
"부산광역시 동래구 사직제3동(2626060000)","8,639","8,639","845","1,004","934","918","1,610","1,264","1,154","700","205","5","0","8,822","8,822","648","789","865","1,005","1,562","1,292","1,412","866","327","56","0"
"부산광역시 동래구 안락제1동(2626074000)","7,300","7,300","422","513","902","891","1,039","1,220","1,325","751","223","12","2","7,504","7,504","360","445","805","784","971","1,304","1,568","862","341","60","4"
"부산광역시 동래구 안락제2동(2626075000)","13,380","13,380","930","1,460","1,706","1,534","2,063","2,217","2,106","1,053","286","25","0","14,076","14,076","894","1,334","1,426","1,506","2,246","2,526","2,412","1,150","502","73","7"
"부산광역시 동래구 명장제1동(2626076100)","6,954","6,954","494","488","847","888","995","1,119","1,238","682","191","10","2","7,380","7,380","487","547","733","866","931","1,293","1,433","733","316","39","2"
"부산광역시 동래구 명장제2동(2626076200)","7,300","7,300","436","541","987","979","957","1,134","1,396","703","152","15","0","7,646","7,646","387","477","803","869","956","1,449","1,662","698","299","43","3"
"부산광역시 남구 (2629000000)","129,523","129,523","8,869","11,735","18,420","14,976","20,726","20,705","18,920","11,177","3,744","238","13","135,156","135,156","8,514","11,024","16,392","14,168","20,549","21,612","22,195","13,732","6,016","901","53"
"부산광역시 남구 대연제1동(2629051000)","7,978","7,978","240","473","1,978","1,065","1,076","1,094","1,012","733","291","14","2","7,875","7,875","263","460","1,647","753","957","1,113","1,325","929","372","48","8"
"부산광역시 남구 대연제3동(2629053000)","16,016","16,016","1,402","1,626","3,240","2,011","2,776","2,192","1,597","867","285","19","1","16,801","16,801","1,329","1,526","3,118","2,095","2,893","2,403","1,868","1,026","446","93","4"
"부산광역시 남구 대연제4동(2629054000)","6,126","6,126","526","472","637","872","1,004","879","925","585","213","13","0","6,405","6,405","496","414","598","837","878","966","1,093","754","329","38","2"
"부산광역시 남구 대연제5동(2629055000)","8,138","8,138","558","709","1,327","975","1,290","1,212","1,093","695","264","14","1","8,732","8,732","497","687","1,391","975","1,301","1,263","1,336","874","361","47","0"
"부산광역시 남구 대연제6동(2629056000)","7,475","7,475","850","822","875","1,024","1,345","1,073","829","491","153","13","0","8,041","8,041","906","730","859","1,102","1,424","1,176","1,008","557","238","40","1"
"부산광역시 남구 용호제1동(2629057000)","21,511","21,511","1,681","2,585","2,645","1,922","3,564","3,840","3,060","1,612","547","55","0","23,166","23,166","1,678","2,494","2,271","2,130","4,107","4,089","3,391","1,978","880","147","1"
"부산광역시 남구 용호제2동(2629058000)","8,358","8,358","701","927","909","889","1,404","1,290","1,284","751","190","12","1","8,626","8,626","669","848","725","894","1,421","1,365","1,510","779","345","65","5"
"부산광역시 남구 용호제3동(2629059000)","5,992","5,992","236","449","761","612","840","1,017","1,135","737","195","10","0","6,353","6,353","246","429","635","489","786","1,094","1,408","858","357","48","3"
"부산광역시 남구 용호제4동(2629060000)","4,169","4,169","283","313","460","536","685","628","718","409","118","16","3","4,466","4,466","230","335","430","473","650","697","933","486","203","24","5"
"부산광역시 남구 용당동(2629061000)","4,197","4,197","267","396","604","424","635","755","672","329","111","4","0","4,063","4,063","238","376","435","364","635","713","681","430","154","36","1"
"부산광역시 남구 감만제1동(2629062000)","6,831","6,831","330","513","858","722","1,057","1,160","1,242","708","227","11","3","6,557","6,557","304","431","620","610","867","1,105","1,334","863","370","41","12"
"부산광역시 남구 감만제2동(2629063000)","3,366","3,366","138","265","362","341","541","583","577","402","152","5","0","3,474","3,474","130","218","285","276","466","542","773","532","223","27","2"
"부산광역시 남구 우암동(2629064500)","6,450","6,450","347","457","714","646","978","1,064","1,216","786","231","10","1","6,583","6,583","269","440","551","572","838","1,054","1,474","909","396","78","2"
"부산광역시 남구 문현제1동(2629068000)","6,746","6,746","393","600","900","657","1,072","1,221","1,081","609","205","8","0","7,100","7,100","350","589","776","628","1,063","1,261","1,211","808","363","51","0"
"부산광역시 남구 문현제2동(2629069000)","4,285","4,285","188","201","580","721","656","675","677","412","165","10","0","4,362","4,362","168","178","682","598","516","609","700","543","325","40","3"
"부산광역시 남구 문현제3동(2629070000)","7,665","7,665","565","640","1,010","1,100","1,197","1,277","1,052","602","209","13","0","8,139","8,139","573","631","913","1,008","1,221","1,363","1,274","754","361","41","0"
"부산광역시 남구 문현제4동(2629071000)","4,220","4,220","164","287","560","459","606","745","750","449","188","11","1","4,413","4,413","168","238","456","364","526","799","876","652","293","37","4"
"부산광역시 북구 (2632000000)","140,032","140,032","9,658","11,862","19,739","17,463","19,961","25,076","23,176","9,984","2,903","206","4","143,106","143,106","9,037","10,920","16,997","16,116","20,174","27,770","23,924","11,664","5,615","856","33"
"부산광역시 북구 구포제1동(2632051000)","7,315","7,315","333","326","1,002","1,101","969","1,379","1,390","624","176","14","1","7,119","7,119","358","357","906","856","763","1,418","1,404","676","333","47","1"
"부산광역시 북구 구포제2동(2632052000)","13,240","13,240","764","929","1,931","1,751","1,784","2,520","2,300","986","267","8","0","12,577","12,577","644","810","1,605","1,453","1,630","2,539","2,331","1,039","454","66","6"
"부산광역시 북구 구포제3동(2632052100)","10,355","10,355","474","814","1,647","1,102","1,460","2,090","1,821","747","192","8","0","9,759","9,759","426","682","1,249","872","1,352","2,126","1,820","863","312","54","3"
"부산광역시 북구 금곡동(2632053000)","18,645","18,645","1,063","1,562","2,402","2,004","2,494","3,502","3,451","1,526","593","48","0","19,803","19,803","999","1,479","2,053","1,743","2,628","3,902","3,345","2,130","1,363","158","3"
"부산광역시 북구 화명제1동(2632054100)","20,705","20,705","2,067","2,284","3,047","2,561","3,050","3,745","2,850","889","201","11","0","21,405","21,405","1,904","2,139","2,666","2,784","3,509","4,394","2,613","917","397","80","2"
"부산광역시 북구 화명제2동(2632054200)","8,097","8,097","622","658","1,310","1,019","1,023","1,519","1,251","523","154","16","2","8,477","8,477","555","644","1,100","949","1,125","1,823","1,261","643","324","52","1"
"부산광역시 북구 화명제3동(2632054300)","14,667","14,667","1,282","1,999","2,086","1,477","2,458","2,667","1,615","762","296","25","0","15,271","15,271","1,241","1,816","1,808","1,633","2,900","2,734","1,695","954","425","63","2"
"부산광역시 북구 덕천제1동(2632055000)","5,815","5,815","203","299","807","751","716","1,060","1,156","606","198","19","0","6,002","6,002","212","238","674","621","672","1,080","1,330","709","405","55","6"
"부산광역시 북구 덕천제2동(2632056000)","6,097","6,097","229","301","977","875","803","1,067","1,160","525","149","11","0","6,135","6,135","199","296","887","654","678","1,143","1,279","633","312","53","1"
"부산광역시 북구 덕천제3동(2632056100)","5,303","5,303","222","315","729","611","795","934","995","546","147","9","0","5,531","5,531","204","287","629","506","640","1,006","1,155","728","331","44","1"
"부산광역시 북구 만덕제1동(2632057100)","7,444","7,444","635","467","866","1,375","1,082","1,087","1,248","556","126","2","0","7,702","7,702","625","449","856","1,264","966","1,332","1,329","590","247","42","2"
"부산광역시 북구 만덕제2동(2632057200)","13,123","13,123","1,140","1,207","1,647","1,652","2,058","2,066","2,163","954","215","20","1","13,615","13,615","1,075","1,113","1,473","1,653","2,074","2,373","2,372","991","411","78","2"
"부산광역시 북구 만덕제3동(2632057300)","9,226","9,226","624","701","1,288","1,184","1,269","1,440","1,776","740","189","15","0","9,710","9,710","595","610","1,091","1,128","1,237","1,900","1,990","791","301","64","3"
"부산광역시 해운대구 (2635000000)","192,102","192,102","14,402","19,339","25,093","22,517","30,842","33,182","27,904","13,644","4,769","389","21","207,120","207,120","13,519","18,125","22,955","23,557","34,147","36,374","31,193","17,259","8,596","1,344","51"
"부산광역시 해운대구 우제1동(2635051000)","10,790","10,790","619","796","1,453","1,456","1,613","1,814","1,686","990","336","24","3","11,859","11,859","626","755","1,510","1,456","1,769","2,035","1,979","1,156","485","84","4"
"부산광역시 해운대구 우제2동(2635052000)","14,756","14,756","1,490","1,588","1,787","1,733","2,399","2,569","1,864","953","341","31","1","16,247","16,247","1,378","1,523","1,675","2,057","2,879","2,812","2,127","1,127","555","111","3"
"부산광역시 해운대구 우제3동(2635052500)","13,636","13,636","1,501","1,557","1,488","1,474","2,313","2,193","1,865","875","336","33","1","15,138","15,138","1,406","1,558","1,313","1,959","2,715","2,595","2,036","995","475","83","3"
"부산광역시 해운대구 중제1동(2635053000)","12,995","12,995","1,086","1,284","1,737","1,623","2,144","2,265","1,678","822","330","22","4","13,973","13,973","993","1,188","1,639","1,781","2,461","2,451","1,830","1,048","496","72","14"
"부산광역시 해운대구 중제2동(2635054000)","7,570","7,570","598","613","879","1,048","1,326","1,280","1,163","492","149","20","2","8,383","8,383","639","568","807","1,168","1,410","1,504","1,324","637","266","55","5"
"부산광역시 해운대구 좌제1동(2635055100)","8,516","8,516","615","1,058","1,320","979","1,390","1,556","896","444","226","31","1","9,711","9,711","619","939","1,473","1,123","1,828","1,599","1,005","657","422","44","2"
"부산광역시 해운대구 좌제2동(2635055200)","14,868","14,868","1,061","1,448","2,373","2,146","2,173","2,556","1,884","804","387","35","1","17,401","17,401","973","1,404","2,693","2,343","2,771","3,185","2,098","1,168","669","96","1"
"부산광역시 해운대구 좌제3동(2635055300)","7,636","7,636","531","936","1,041","783","1,103","1,376","1,082","491","263","30","0","8,603","8,603","531","863","878","851","1,409","1,592","1,216","724","465","73","1"
"부산광역시 해운대구 좌제4동(2635055400)","11,103","11,103","918","1,501","1,538","1,143","1,746","2,043","1,352","565","273","23","1","12,236","12,236","827","1,445","1,404","1,271","2,260","2,253","1,416","796","491","72","1"
"부산광역시 해운대구 송정동(2635056000)","4,810","4,810","283","271","629","669","716","765","895","422","149","11","0","5,148","5,148","224","228","530","580","624","933","1,080","580","314","54","1"
"부산광역시 해운대구 반여제1동(2635057000)","17,257","17,257","1,310","2,204","2,239","1,749","2,853","3,144","2,360","1,052","318","27","1","17,644","17,644","1,249","1,972","1,889","1,875","3,269","3,128","2,411","1,175","568","108","0"
"부산광역시 해운대구 반여제2동(2635058000)","6,261","6,261","230","324","794","845","913","1,128","1,166","646","201","13","1","6,638","6,638","245","296","639","669","799","1,217","1,415","899","419","39","1"
"부산광역시 해운대구 반여제3동(2635059000)","4,314","4,314","134","275","537","468","598","826","840","470","158","8","0","4,489","4,489","106","229","432","338","527","834","1,038","626","321","38","0"
"부산광역시 해운대구 반여제4동(2635059500)","8,026","8,026","647","795","1,099","975","1,295","1,374","1,218","515","99","8","1","8,279","8,279","604","751","967","967","1,317","1,576","1,311","519","232","34","1"
"부산광역시 해운대구 반송제1동(2635061000)","7,050","7,050","183","378","899","669","968","1,384","1,405","826","319","17","2","7,001","7,001","179","366","685","466","730","1,277","1,446","1,219","549","81","3"
"부산광역시 해운대구 반송제2동(2635062000)","11,538","11,538","460","770","1,319","1,076","1,681","2,048","2,414","1,337","404","29","0","12,157","12,157","422","687","1,067","855","1,402","2,113","2,723","1,830","909","145","4"
"부산광역시 해운대구 재송제1동(2635065000)","18,778","18,778","2,082","2,534","2,204","2,208","3,672","2,758","2,043","1,014","247","15","1","19,364","19,364","1,886","2,393","1,946","2,455","4,083","2,768","2,276","1,046","434","73","4"
"부산광역시 해운대구 재송제2동(2635066000)","12,198","12,198","654","1,007","1,757","1,473","1,939","2,103","2,093","926","233","12","1","12,849","12,849","612","960","1,408","1,343","1,894","2,502","2,462","1,057","526","82","3"
"부산광역시 사하구 (2638000000)","153,413","153,413","9,818","12,896","20,948","19,067","23,201","26,443","25,155","12,133","3,492","250","10","154,623","154,623","9,304","11,985","18,163","16,773","22,025","27,422","27,143","14,266","6,431","1,080","31"
"부산광역시 사하구 괴정제1동(2638051000)","9,537","9,537","552","829","1,185","1,181","1,312","1,567","1,610","966","309","26","0","10,251","10,251","498","725","1,113","1,030","1,372","1,830","1,898","1,091","584","107","3"
"부산광역시 사하구 괴정제2동(2638052000)","6,897","6,897","437","539","806","777","1,124","1,124","1,180","716","185","9","0","7,184","7,184","414","551","729","690","1,034","1,135","1,424","807","341","56","3"
"부산광역시 사하구 괴정제3동(2638053000)","6,101","6,101","281","389","745","819","866","1,011","1,148","634","192","16","0","6,546","6,546","229","363","691","658","763","1,130","1,432","856","374","50","0"
"부산광역시 사하구 괴정제4동(2638054000)","6,014","6,014","396","452","800","676","884","965","1,045","603","181","12","0","6,412","6,412","331","491","685","642","913","1,086","1,278","656","281","47","2"
"부산광역시 사하구 당리동(2638055000)","13,133","13,133","814","1,175","1,815","1,553","1,896","2,155","2,263","1,129","306","26","1","13,651","13,651","773","1,077","1,608","1,421","1,930","2,569","2,476","1,181","529","85","2"
"부산광역시 사하구 하단제1동(2638056100)","10,724","10,724","582","850","1,839","1,563","1,482","1,737","1,665","747","250","7","2","10,752","10,752","588","811","1,661","1,241","1,470","1,875","1,770","876","390","70","0"
"부산광역시 사하구 하단제2동(2638056200)","12,603","12,603","720","978","2,807","1,719","1,773","1,906","1,659","779","247","13","2","12,699","12,699","654","1,032","2,322","1,429","1,696","2,155","1,971","988","390","60","2"
"부산광역시 사하구 신평제1동(2638057100)","8,901","8,901","580","590","1,044","1,186","1,379","1,652","1,551","709","192","17","1","8,357","8,357","531","527","842","924","1,158","1,480","1,557","900","381","56","1"
"부산광역시 사하구 신평제2동(2638057200)","7,900","7,900","543","696","1,039","1,147","1,216","1,391","1,215","501","138","14","0","7,937","7,937","514","620","1,053","989","1,182","1,483","1,314","517","223","42","0"
"부산광역시 사하구 장림제1동(2638058000)","5,645","5,645","464","507","585","746","1,084","983","787","396","89","3","1","5,249","5,249","461","446","477","690","865","774","830","493","193","19","1"
"부산광역시 사하구 장림제2동(2638059000)","14,112","14,112","995","1,275","1,836","1,969","2,299","2,436","2,167","914","212","8","1","13,619","13,619","889","1,152","1,630","1,659","2,113","2,428","2,264","1,043","373","66","2"
"부산광역시 사하구 다대제1동(2638060100)","19,735","19,735","1,456","2,101","2,468","2,148","3,156","3,607","3,050","1,317","391","41","0","19,608","19,608","1,472","1,833","1,984","2,114","3,230","3,520","2,935","1,599","790","128","3"
"부산광역시 사하구 다대제2동(2638060200)","13,684","13,684","827","1,235","1,859","1,353","1,942","2,585","2,511","1,021","323","27","1","14,110","14,110","816","1,171","1,474","1,305","2,037","2,704","2,509","1,277","682","131","4"
"부산광역시 사하구 구평동(2638061000)","5,918","5,918","664","449","674","1,030","964","928","792","342","69","6","0","5,667","5,667","603","389","618","970","820","917","833","347","131","38","1"
"부산광역시 사하구 감천제1동(2638062000)","9,356","9,356","453","708","1,131","950","1,376","1,710","1,841","919","251","17","0","9,610","9,610","454","679","1,052","840","1,173","1,855","1,996","1,035","448","75","3"
"부산광역시 사하구 감천제2동(2638063000)","3,153","3,153","54","123","315","250","448","686","671","440","157","8","1","2,971","2,971","77","118","224","171","269","481","656","600","321","50","4"
"부산광역시 금정구 (2641000000)","112,308","112,308","6,487","8,957","17,683","12,792","15,749","18,832","18,369","9,862","3,307","261","9","117,396","117,396","6,150","8,400","14,981","11,773","15,869","20,754","21,016","11,780","5,724","893","56"
"부산광역시 금정구 서제1동(2641051000)","2,857","2,857","52","143","297","278","432","572","609","347","122","3","2","2,706","2,706","48","111","229","163","291","506","682","425","212","29","10"
"부산광역시 금정구 서제2동(2641052000)","4,701","4,701","159","229","609","496","616","927","1,020","507","131","7","0","4,724","4,724","154","229","494","433","504","938","1,148","548","249","26","1"
"부산광역시 금정구 서제3동(2641053000)","5,698","5,698","180","266","694","614","740","1,127","1,203","645","221","8","0","5,660","5,660","153","278","546","471","595","1,101","1,307","813","342","45","9"
"부산광역시 금정구 금사회동동(2641055500)","4,260","4,260","147","184","454","452","581","799","993","516","127","6","1","3,788","3,788","108","167","345","329","375","739","959","517","218","28","3"
"부산광역시 금정구 부곡제1동(2641057000)","4,062","4,062","159","215","478","441","607","679","793","514","160","15","1","4,425","4,425","141","216","407","374","486","741","987","705","328","40","0"
"부산광역시 금정구 부곡제2동(2641058000)","7,984","7,984","458","734","1,259","892","1,128","1,354","1,266","633","236","24","0","8,653","8,653","398","673","1,185","858","1,245","1,549","1,474","799","409","61","2"
"부산광역시 금정구 부곡제3동(2641059000)","7,699","7,699","572","676","1,171","1,006","1,076","1,293","1,146","537","202","19","1","8,351","8,351","549","655","1,084","934","1,196","1,474","1,366","633","389","69","2"
"부산광역시 금정구 부곡제4동(2641059100)","6,258","6,258","259","432","824","745","906","1,035","1,164","696","187","10","0","6,764","6,764","254","357","724","665","840","1,221","1,474","847","331","48","3"
"부산광역시 금정구 장전제1동(2641060000)","9,314","9,314","416","607","3,374","1,094","1,131","1,084","883","513","197","15","0","8,656","8,656","460","601","2,406","880","1,056","1,142","1,103","647","310","50","1"
"부산광역시 금정구 장전제2동(2641061000)","13,075","13,075","1,389","1,362","1,737","1,750","2,328","1,715","1,533","914","321","25","1","14,073","14,073","1,246","1,115","1,630","1,934","2,395","2,017","1,904","1,130","561","132","9"
"부산광역시 금정구 선두구동(2641063500)","1,259","1,259","41","57","117","130","131","246","309","159","63","6","0","1,089","1,089","28","41","94","75","109","212","242","171","101","15","1"
"부산광역시 금정구 청룡노포동(2641066500)","4,838","4,838","264","361","607","478","572","837","888","586","220","25","0","5,006","5,006","236","317","447","448","624","914","1,055","618","307","38","2"
"부산광역시 금정구 남산동(2641067000)","14,272","14,272","597","1,021","2,407","1,615","1,777","2,592","2,451","1,313","466","32","1","14,949","14,949","574","991","2,026","1,332","1,816","2,902","2,762","1,662","769","113","2"
"부산광역시 금정구 구서제1동(2641068000)","9,447","9,447","681","952","1,306","1,096","1,409","1,682","1,414","679","215","13","0","10,428","10,428","649","999","1,229","1,111","1,608","1,968","1,599","784","420","59","2"
"부산광역시 금정구 구서제2동(2641069000)","16,070","16,070","1,079","1,658","2,300","1,668","2,236","2,810","2,586","1,255","427","50","1","17,574","17,574","1,117","1,594","2,103","1,724","2,645","3,249","2,840","1,421","740","132","9"
"부산광역시 금정구 금성동(2641070000)","514","514","34","60","49","37","79","80","111","48","12","3","1","550","550","35","56","32","42","84","81","114","60","38","8","0"
"부산광역시 강서구 (2644000000)","72,541","72,541","10,300","6,245","6,806","13,885","13,714","8,757","8,326","3,494","934","74","6","67,674","67,674","9,656","6,035","5,745","13,317","10,894","8,214","8,133","3,476","1,814","374","16"
"부산광역시 강서구 대저1동(2644051000)","3,640","3,640","87","146","377","332","424","696","915","503","151","9","0","2,957","2,957","95","123","254","249","246","510","729","462","243","45","1"
"부산광역시 강서구 대저2동(2644052000)","3,960","3,960","259","249","550","506","531","631","735","368","125","5","1","3,095","3,095","222","213","280","363","339","453","620","340","212","52","1"
"부산광역시 강서구 강동동(2644053000)","2,319","2,319","46","67","219","212","215","467","715","286","81","10","1","2,021","2,021","38","63","123","139","127","401","593","321","176","39","1"
"부산광역시 강서구 명지1동(2644053500)","25,977","25,977","4,940","2,140","2,206","6,496","5,105","2,268","1,920","719","169","11","3","25,746","25,746","4,742","2,246","2,238","6,645","4,202","2,492","2,099","688","324","64","6"
"부산광역시 강서구 명지2동(2644054500)","15,124","15,124","2,622","2,191","1,256","2,165","3,462","1,695","1,195","428","97","12","1","15,187","15,187","2,406","2,090","1,199","2,641","3,284","1,641","1,287","422","181","36","0"
"부산광역시 강서구 가락동(2644055000)","1,267","1,267","22","42","114","109","125","259","321","207","61","7","0","1,120","1,120","27","27","73","74","72","200","296","194","128","27","2"
"부산광역시 강서구 녹산동(2644056000)","18,249","18,249","2,267","1,342","1,899","3,848","3,590","2,352","2,020","740","177","14","0","15,719","15,719","2,073","1,199","1,456","3,078","2,445","2,142","2,029","818","402","76","1"
"부산광역시 강서구 가덕도동(2644058000)","2,005","2,005","57","68","185","217","262","389","505","243","73","6","0","1,829","1,829","53","74","122","128","179","375","480","231","148","35","4"
"부산광역시 연제구 (2647000000)","99,464","99,464","7,150","8,399","12,948","13,177","15,418","15,926","15,125","8,328","2,793","189","11","107,083","107,083","7,008","7,911","12,523","13,115","16,061","17,685","17,796","9,924","4,386","646","28"
"부산광역시 연제구 거제제1동(2647061000)","14,233","14,233","1,292","1,865","1,698","1,409","2,539","2,348","1,673","991","391","26","1","15,211","15,211","1,190","1,687","1,518","1,590","2,941","2,424","1,999","1,275","506","77","4"
"부산광역시 연제구 거제제2동(2647062000)","5,946","5,946","493","758","688","602","1,091","962","792","415","138","6","1","6,483","6,483","563","804","631","645","1,237","991","868","491","226","27","0"
"부산광역시 연제구 거제제3동(2647063000)","4,763","4,763","250","365","540","533","674","767","822","554","233","25","0","5,314","5,314","219","322","589","527","653","859","1,011","701","384","49","0"
"부산광역시 연제구 거제제4동(2647064000)","5,229","5,229","361","522","683","603","768","873","846","423","141","8","1","5,395","5,395","346","448","554","512","857","963","943","486","240","46","0"
"부산광역시 연제구 연산제1동(2647065000)","7,929","7,929","622","667","955","1,068","1,215","1,195","1,295","682","214","15","1","8,280","8,280","582","568","822","1,017","1,260","1,389","1,510","781","317","32","2"
"부산광역시 연제구 연산제2동(2647066000)","10,067","10,067","990","643","1,270","1,752","1,539","1,470","1,317","802","258","23","3","10,904","10,904","978","671","1,231","1,839","1,556","1,645","1,593","892","418","76","5"
"부산광역시 연제구 연산제3동(2647067000)","3,481","3,481","113","186","410","393","456","607","718","450","139","9","0","3,813","3,813","104","191","378","320","460","679","852","569","232","27","1"
"부산광역시 연제구 연산제4동(2647068000)","7,835","7,835","325","458","1,093","1,003","1,126","1,314","1,438","800","254","23","1","8,519","8,519","366","443","1,222","941","1,084","1,387","1,730","912","379","55","0"
"부산광역시 연제구 연산제5동(2647069000)","7,836","7,836","374","354","1,438","1,543","1,194","1,162","1,014","554","199","4","0","8,601","8,601","374","314","1,976","1,524","1,113","1,216","1,136","665","257","24","2"
"부산광역시 연제구 연산제6동(2647070000)","8,110","8,110","513","525","992","1,173","1,181","1,251","1,337","822","298","18","0","8,658","8,658","505","482","822","1,087","1,048","1,377","1,716","1,058","497","64","2"
"부산광역시 연제구 연산제8동(2647072000)","6,986","6,986","624","578","823","905","1,118","1,163","1,077","555","134","7","2","7,327","7,327","584","554","727","943","1,094","1,257","1,237","635","250","40","6"
"부산광역시 연제구 연산제9동(2647073000)","17,049","17,049","1,193","1,478","2,358","2,193","2,517","2,814","2,796","1,280","394","25","1","18,578","18,578","1,197","1,427","2,053","2,170","2,758","3,498","3,201","1,459","680","129","6"
"부산광역시 수영구 (2650000000)","83,210","83,210","5,257","5,990","11,697","11,841","12,437","12,629","12,804","7,642","2,675","230","8","92,852","92,852","4,960","5,653","12,398","11,908","12,780","14,636","16,084","9,440","4,303","663","27"
"부산광역시 수영구 남천제1동(2650066000)","6,423","6,423","338","601","901","788","937","1,119","944","527","233","34","1","7,532","7,532","372","587","935","833","1,076","1,320","1,198","747","395","68","1"
"부산광역시 수영구 남천제2동(2650067000)","5,703","5,703","441","591","681","586","873","953","890","514","161","11","2","6,555","6,555","434","575","650","665","1,067","1,216","1,051","581","251","59","6"
"부산광역시 수영구 수영동(2650073000)","7,121","7,121","317","344","897","925","1,021","1,082","1,293","890","327","25","0","7,703","7,703","269","314","902","822","872","1,189","1,674","1,079","503","75","4"
"부산광역시 수영구 망미제1동(2650074000)","13,189","13,189","874","996","1,570","1,662","1,896","1,960","2,299","1,378","500","54","0","14,409","14,409","797","935","1,454","1,675","1,874","2,298","2,875","1,596","782","121","2"
"부산광역시 수영구 망미제2동(2650075000)","5,531","5,531","342","427","669","736","849","903","902","525","172","6","0","5,704","5,704","324","372","535","636","802","954","1,105","683","243","49","1"
"부산광역시 수영구 광안제1동(2650076000)","12,077","12,077","634","855","2,203","2,080","1,730","1,613","1,599","1,005","324","32","2","13,777","13,777","584","700","2,861","2,050","1,803","1,919","2,069","1,168","541","78","4"
"부산광역시 수영구 광안제2동(2650077000)","8,675","8,675","545","627","1,324","1,330","1,392","1,262","1,161","729","281","21","3","9,994","9,994","531","628","1,534","1,408","1,446","1,450","1,503","1,017","420","52","5"
"부산광역시 수영구 광안제3동(2650078000)","4,540","4,540","145","202","854","737","607","659","756","426","145","9","0","4,967","4,967","132","195","1,025","672","572","664","862","570","246","28","1"
"부산광역시 수영구 광안제4동(2650079000)","6,191","6,191","486","443","826","961","938","942","850","527","207","11","0","7,434","7,434","419","466","937","1,077","1,138","1,154","1,169","680","353","39","2"
